Title,Date Posted,Link
Dems weigh replacing Justice Sotomayor ahead of Trump's second term: Report,2024-11-08T20:00:34Z,https://www.youtube.com/watch?v=tKl7p05ORtY
"Elon Musk joined call between Trump and Zelenskyy, Fox confirms",2024-11-08T19:15:02Z,https://www.youtube.com/watch?v=twreZr8vpZs
Israeli soccer fans targeted in attacks in Amsterdam,2024-11-08T18:30:16Z,https://www.youtube.com/watch?v=VHH36t0v6qo
John Daly: Our country needs daddy Trump,2024-11-08T17:45:00Z,https://www.youtube.com/watch?v=5Iv7jrti9MQ
Trump transition: Big names floated for new cabinet,2024-11-08T17:00:04Z,https://www.youtube.com/watch?v=5iq-WBfw1iQ
White House press secretary Karine Jean-Pierre snaps when asked about Biden's change of rhetoric,2024-11-08T16:48:54Z,https://www.youtube.com/watch?v=dorOP99fZE8
8-year-old boy with rare brain disorder who met Trump finds out he won the election,2024-11-08T16:41:34Z,https://www.youtube.com/watch?v=hV7fP2KlF44
Hosts break down in laughter over left's Trump meltdown: 'They call us weird?!',2024-11-08T16:15:00Z,https://www.youtube.com/watch?v=5cBtj-kwzz0
Democrats fed up with own party after Trump win: 'Afraid' to speak out,2024-11-08T15:30:30Z,https://www.youtube.com/watch?v=yfvKck7FeWM
California’s shocking 2024 electoral map flip a ‘wakeup call for Democrats’,2024-11-08T14:45:02Z,https://www.youtube.com/watch?v=GJhkvkiUcGc
House Republicans’ unity will face ‘real test’ in new Congress,2024-11-08T14:00:09Z,https://www.youtube.com/watch?v=BIQlgZAqCaw
"Media gushes over 'flawless,' 'incredible' Kamala Harris campaign despite defeat",2024-11-08T13:15:03Z,https://www.youtube.com/watch?v=SWeYyDtGx18
Men voted for Trump because they like 'real dudes': Gutfeld,2024-11-08T12:30:37Z,https://www.youtube.com/watch?v=c6LzXjxfCgc
Trump names first-ever female as White House chief of staff,2024-11-08T11:45:04Z,https://www.youtube.com/watch?v=jNcjVJI3GmY
"Fox News Highlights -  Nov. 7, 2024",2024-11-08T11:00:45Z,https://www.youtube.com/watch?v=ZFsKouTPFyE
‘ANNIHILATION’: Stephen A. Smith reacts to Trump’s comeback win,2024-11-08T10:15:01Z,https://www.youtube.com/watch?v=ctDRhNT5ZUM
Newt Gingrich: This was such an extraordinary victory,2024-11-08T09:30:14Z,https://www.youtube.com/watch?v=_aGUitoQ8g4
Fed chair says he won’t resign if asked by Trump,2024-11-08T08:45:00Z,https://www.youtube.com/watch?v=H0yMdBEAprM
Ari Fleischer: Dave McCormick was more ‘in tune’ with the state after Pa. Senate win,2024-11-08T08:00:21Z,https://www.youtube.com/watch?v=JOmEEZz_MwE
"Democrats lost their base to Trump, says presidential historian",2024-11-08T07:15:00Z,https://www.youtube.com/watch?v=GmjRRI4APtI
'FIRSTHAND' STRUGGLE: Border Patrol Council leader explains Latino shift to Trump,2024-11-08T06:30:21Z,https://www.youtube.com/watch?v=pQ_Pgt3Kkr8
Dr. Ben Carson says Americans 'didn't fall for the gaslighting' after Trump's victory,2024-11-08T06:00:25Z,https://www.youtube.com/watch?v=hENkC--ImOQ
Bad Bunny and Jennifer Lopez didn't deliver for Kamala Harris: Sen. Marco Rubio,2024-11-08T05:45:00Z,https://www.youtube.com/watch?v=53O81SlT9D0
Biden addresses nation as Democrats wonder what went wrong,2024-11-08T05:30:03Z,https://www.youtube.com/watch?v=7qkxcuk75pQ
Gutfeld: Jimmy Kimmel was in tears,2024-11-08T04:45:01Z,https://www.youtube.com/watch?v=BK1_BP04wBA
CUE THE HYSTERIA: Hannity watches liberals' hissy fits over Trump win,2024-11-08T04:00:23Z,https://www.youtube.com/watch?v=d3c-_KmHms8
'Jesse Watters Primetime' asks: Why did Kamala Harris lose? #shorts,2024-11-08T03:15:05Z,https://www.youtube.com/watch?v=rguyUHEqhME
Jesse Watters: The only Democrat smiling is Joe Biden,2024-11-08T03:15:03Z,https://www.youtube.com/watch?v=xW3ursIrGws
Tulsi Gabbard: This drove people across party lines to say 'yes' to Trump,2024-11-08T02:40:22Z,https://www.youtube.com/watch?v=BNfuHqoEEfI
Laura Ingraham: Republicans should make an effort to flip California,2024-11-08T02:15:02Z,https://www.youtube.com/watch?v=_zy4trFLvzc
Sen-elect Dave McCormick speaks out after flipping longtime PA Dem seat red,2024-11-08T01:30:32Z,https://www.youtube.com/watch?v=n2FZ5-wbwLk
'The Five': Is it time to give up on 'wokeness' after Kamala Harris' loss?,2024-11-08T01:00:15Z,https://www.youtube.com/watch?v=P7De44j-mZc
Gutfeld reacts to how his late-night rivals are handling Trump's win,2024-11-08T00:21:53Z,https://www.youtube.com/watch?v=_Nx-F5XmC6A
Jimmy Failla reacts to Dave Portnoy ripping into Democrats for their lackluster performance,2024-11-07T23:45:02Z,https://www.youtube.com/watch?v=jnEnY3ceFao
Sen. Marco Rubio on possible Trump cabinet position,2024-11-07T23:39:22Z,https://www.youtube.com/watch?v=vuk9ISDgXW0
Jesse Watters: Biden seemed to have a little pep in his step today,2024-11-07T23:25:03Z,https://www.youtube.com/watch?v=PNazUy0Zt5s
