Title,Date Posted,Link
"With a Trump Victory, What’s Next for the Russia-Ukraine War? | WSJ",2024-11-08T15:00:32Z,https://www.youtube.com/watch?v=MN_rlPb6LRA
How This Core Voter Group Delivered Trump the 2024 Election | WSJ State of the Stat,2024-11-08T02:30:04Z,https://www.youtube.com/watch?v=S0pD0TJsR9k
President Biden Addresses Nation: ‘You Can’t Love Your Country Only When You Win’ | WSJ,2024-11-07T16:34:11Z,https://www.youtube.com/watch?v=UjYz6n68TCA
Investors Diverge on Healthcare Companies After Trump Win | WSJ,2024-11-06T22:27:15Z,https://www.youtube.com/watch?v=ZB9Eb1Mjl9E
Why Oil Prices Fell Following Trump Victory | WSJ,2024-11-06T22:09:42Z,https://www.youtube.com/watch?v=za1IXiabYaA
Kamala Harris Concession Speech: ‘We Must Accept the Results’ of Election | WSJ,2024-11-06T21:40:04Z,https://www.youtube.com/watch?v=EEZn6MO2dHo
Why Mortgage Rates Are Likely to Keep Rising Following Trump Win | WSJ,2024-11-06T21:32:05Z,https://www.youtube.com/watch?v=uiGOEvkQ6AU
"Interest Rates Up Following Trump Victory, But Investors Not Too Worried | WSJ",2024-11-06T20:23:42Z,https://www.youtube.com/watch?v=jfQwa8g3JQY
How Trump Defeated Harris for President: Key Election Campaign Moments | WSJ,2024-11-06T10:36:29Z,https://www.youtube.com/watch?v=C450EnxM2fM
Trump Declares Election Victory in Speech: ‘A Historic Realignment’ | WSJ,2024-11-06T07:57:15Z,https://www.youtube.com/watch?v=NydLEGdn5Bg
"Trump Wins Georgia, as Harris’s Path Narrows | WSJ",2024-11-06T06:30:47Z,https://www.youtube.com/watch?v=fEis7vTzZNU
North Carolina Is First Swing State Called for Trump | WSJ,2024-11-06T04:46:03Z,https://www.youtube.com/watch?v=GIb7MEwmyDg
"Trump Starts Strong, But Count Still Early in Swing States | WSJ",2024-11-06T03:22:16Z,https://www.youtube.com/watch?v=KiqlPOIpC2Q
"Voters More Divided by Education, Less by Race | WSJ",2024-11-06T03:07:19Z,https://www.youtube.com/watch?v=5blbrLN_6Sw
Northern Virginia County Hints at Weakness for Harris | WSJ,2024-11-06T02:08:05Z,https://www.youtube.com/watch?v=gS5up98Zsm8
"Survey Shows High Turnout Among Women, Young Voters | WSJ",2024-11-06T00:11:11Z,https://www.youtube.com/watch?v=Wlk5mLiYc_c
Election Security in One of U.S.'s Fiercest Battlegrounds | WSJ,2024-11-05T20:24:47Z,https://www.youtube.com/watch?v=pAVE7fZm9v0
Analyzing Harris’s and Trump’s Closing Arguments | WSJ,2024-11-05T05:09:28Z,https://www.youtube.com/watch?v=_8angMZlmRo
Why Elon Musk and His Tech Allies Want Trump to Win Now | WSJ,2024-11-01T14:41:47Z,https://www.youtube.com/watch?v=KmQLhtlHO1o
Trump vs. Harris: How They Would Solve the Housing Crisis | WSJ,2024-10-31T14:00:48Z,https://www.youtube.com/watch?v=mSBtHTBzg_Y
The ‘Billionaire’ Minimum Tax: How Harris Could Tax America's Ultra-Rich | WSJ,2024-10-30T14:00:58Z,https://www.youtube.com/watch?v=rOkfpDzRkGM
Inside the Newly Legalized World of Election Betting | WSJ,2024-10-29T14:00:34Z,https://www.youtube.com/watch?v=Ufkwk8mWs9o
Why the Growing Latino Vote Is So Crucial in the Election | WSJ State of the Stat,2024-10-28T14:00:35Z,https://www.youtube.com/watch?v=_SEEVZTczrM
Train Architect Designs the Perfect Commuter Train | WSJ Pro Perfected,2024-10-25T14:00:24Z,https://www.youtube.com/watch?v=TGu9RBHPVz4
Inside GM’s Newly Updated ‘Willy Wonka Factory for Car Design’ | WSJ Open Office,2024-10-24T14:01:00Z,https://www.youtube.com/watch?v=rr0FgkNR628
"Trump Takes Lead Over Harris in Closing Weeks of 2024 Race, WSJ Poll Finds | WSJ",2024-10-24T02:15:03Z,https://www.youtube.com/watch?v=vpKfUvu0uDQ
What Harris and Trump Podcast Appearances Say About Their Campaigns | WSJ,2024-10-23T14:00:38Z,https://www.youtube.com/watch?v=e8qtiUH4Ets
"Apple’s Craig Federighi Explains Apple Intelligence Delays, Siri’s Future and More | WSJ",2024-10-23T01:00:24Z,https://www.youtube.com/watch?v=fr8ALcEiYAk
Why the U.S. Military Is Reviving Abandoned WWII-Era Airfields | WSJ,2024-10-21T14:00:16Z,https://www.youtube.com/watch?v=CW1TYDVBSmI
The Four Congressional Races That Will Decide the President’s Power | WSJ,2024-10-18T18:13:13Z,https://www.youtube.com/watch?v=eoNYcHKT1sQ
Why Economists Hate Trump's Tariff Plan | WSJ,2024-10-17T14:00:37Z,https://www.youtube.com/watch?v=_-eHOSq3oqI
Why the U.S.’s Thaad is So Significant for Israel | WSJ,2024-10-16T17:00:05Z,https://www.youtube.com/watch?v=7MdMAHtZZMI
