Title,Keyword Match,Description,Published Date,Video ID,Video URL,Comment Count
Russia mocks President Obama with &#39;lame duck&#39; tweet,president,Reaction and analysis on 'The Five',2016-12-30T23:02:26Z,sE2rBw3WxBU,https://www.youtube.com/watch?v=sE2rBw3WxBU,374
What does Canada think about a President Trump?,president,Jesse Watters travels to Montreal to find out.,2016-12-18T02:59:14Z,LUNEgGOinAU,https://www.youtube.com/watch?v=LUNEgGOinAU,1218
Evaluating President-elect Trump so far,president,'The O'Reilly Factor': Bill O'Reilly's Talking Points 12/12.,2016-12-13T02:01:38Z,LjUCG4BbCWw,https://www.youtube.com/watch?v=LjUCG4BbCWw,418
Trump blasts claim Russia hacked the election,election,John Roberts reports from outside Trump Tower in New York City.,2016-12-12T15:00:32Z,89sYgOexl3g,https://www.youtube.com/watch?v=89sYgOexl3g,728
Eric Shawn reports: The alleged Russian election hacking,election,Amb. John Bolton: any foreign government effort 'is a direct assault on the constitution',2016-12-11T20:00:26Z,FN9Q81nzP7Y,https://www.youtube.com/watch?v=FN9Q81nzP7Y,1031
"Judge Jeanine: The election is over, Mr. President",election,Why choose to investigate Russian hackers now?,2016-12-11T16:01:56Z,conn5wl_QMY,https://www.youtube.com/watch?v=conn5wl_QMY,1112
Dems demand briefings on whether Russia titled election,election,Are Democrats still in denial over Trump's victory over Hillary Clinton? Some are demanding briefings on whether Russia ...,2016-12-08T01:06:56Z,DZwC3NfH84o,https://www.youtube.com/watch?v=DZwC3NfH84o,330
Trump&#39;s talk with the president of Taiwan raises concerns,president,The 'Special Report' All-Star panel weighs in.,2016-12-03T01:04:48Z,OaVP5EYHGTM,https://www.youtube.com/watch?v=OaVP5EYHGTM,643
"Cavuto to Obama: Fox didn&#39;t win an election, you lost it",election,Sometimes the toughest part is looking in the mirror and the only guy looking back is you.,2016-12-03T01:03:36Z,B05RPAIKn3o,https://www.youtube.com/watch?v=B05RPAIKn3o,974
Tucker vs Newsweek and its &#39;Madame President&#39; edition,election,"Before the actual election, Newsweek printed and delivered 125000 copies of the special commemorative edition in anticipation ...",2016-12-01T01:02:54Z,DepQMlY445s,https://www.youtube.com/watch?v=DepQMlY445s,507
President-elect Trump calls for flag burning to be outlawed,president,"Reaction from Lis Wiehl, Fox News legal analyst, and criminal defense attorney Bob Bianchi.",2016-11-29T18:00:30Z,Hk2aoeJhzbY,https://www.youtube.com/watch?v=Hk2aoeJhzbY,346
Tucker Carlson on Jill Stein&#39;s calls for an election recount,election,Host of 'Tucker Carlson Tonight' weighs in on 'Fox & Friends',2016-11-28T14:01:52Z,5GI5wyRQ5zA,https://www.youtube.com/watch?v=5GI5wyRQ5zA,357
Some Democrats still refusing to accept election results,election,Senior political correspondent Mike Emanuel reports from the White House.,2016-11-23T23:59:46Z,KfBnwUZr_1Q,https://www.youtube.com/watch?v=KfBnwUZr_1Q,455
Tucker to prof: Shouldn&#39;t students toughen up over election?,election,Tucker Carlson tries to get professor to explain her approach to students hysterical over Hillary Clinton's loss to Trump in the ...,2016-11-15T01:02:21Z,rQDzAGlf9og,https://www.youtube.com/watch?v=rQDzAGlf9og,2710
"Gutfeld: You did it, President-elect Trump",president,Now don't screw it up.,2016-11-13T20:02:42Z,ZuAB3T6k4sk,https://www.youtube.com/watch?v=ZuAB3T6k4sk,628
"Judge Jeanine: This wasn&#39;t an election, it was a revolution",election,"It's been one amazing, unpredictable ride.",2016-11-13T18:01:35Z,pqKKb0jiPVE,https://www.youtube.com/watch?v=pqKKb0jiPVE,405
Speaker Ryan on his relationship with President-elect Trump,president,Watch Bret Baier's full interview for 'Special Report',2016-11-11T06:07:26Z,28xABEh1tzo,https://www.youtube.com/watch?v=28xABEh1tzo,1053
Press upset with election results,election,Bob Woodward joins 'The O'Reilly Factor' to discuss media reaction to Trump victory.,2016-11-11T06:01:32Z,REiEkNKIPtc,https://www.youtube.com/watch?v=REiEkNKIPtc,781
Thousands take to the streets to protest election results,election,Nationwide protests the night after Trump's victory.,2016-11-10T11:59:10Z,D-YLHaQNuSg,https://www.youtube.com/watch?v=D-YLHaQNuSg,310
"The people revolt, Trump wins",N/A,'The O'Reilly Factor': Bill O'Reilly's Talking Points 11/9.,2016-11-10T02:04:16Z,JW_C0NLyChs,https://www.youtube.com/watch?v=JW_C0NLyChs,2000
Tucker Carlson reacts to Donald Trump winning the presidency,N/A,Insight from host of 'Tucker Carlson Tonight',2016-11-09T13:02:16Z,SdsrhDkl_p8,https://www.youtube.com/watch?v=SdsrhDkl_p8,5567
Clinton supporters react to Trump&#39;s presidential victory,election,"Clinton has conceded the election, expected to give a speech this morning.",2016-11-09T13:00:41Z,Kjf1KG9-IY0,https://www.youtube.com/watch?v=Kjf1KG9-IY0,3956
Donald Trump: I will be president for all Americans,president,President-elect speaks to the nation from New York City.,2016-11-09T10:01:39Z,CcMffEzKiPk,https://www.youtube.com/watch?v=CcMffEzKiPk,810
