Topic,Source,Year,Link
Immigration,Fox,2016,https://www.youtube.com/watch?v=zrQyzQcmIko
Immigration,Fox,2016,https://www.youtube.com/watch?v=Ni6EWTrH4bI
Immigration,Fox,2016,https://www.youtube.com/watch?v=FskZmXDxy1c
Immigration,Fox,2016,https://www.youtube.com/watch?v=CISoGx8qzCE
Immigration,Fox,2017,https://www.youtube.com/watch?app=desktop&v=NtArfdYjQ4w
Immigration,Fox,2017,https://www.youtube.com/watch?v=8tr2pbRHRHk
Immigration,Fox,2017,https://www.youtube.com/watch?v=tvuCWpPxKoA
Immigration,Fox,2018,https://www.youtube.com/watch?v=SYqkvGsUfZU
Immigration,Fox,2018,https://www.youtube.com/watch?v=He5qHHEqvKg
Immigration,Fox,2018,https://www.youtube.com/watch?v=s18KyWh1W2E
Immigration,Fox,2018,https://www.youtube.com/watch?v=DGXcTEo0nRk
Immigration,Fox,2019,https://www.youtube.com/watch?v=TaKufTyNcMM
Immigration,Fox,2019,https://www.youtube.com/watch?v=HFbdJyGYizU
Immigration,Fox,2019,https://www.youtube.com/watch?v=BM5s_G1SBkk
Immigration,Fox,2019,https://www.youtube.com/watch?v=EwjKEoORtKA
Immigration,MSNBC,2016,https://www.youtube.com/watch?v=qcQclpBzdKM
Immigration,MSNBC,2016,https://www.youtube.com/watch?v=EQlm8bTZmdc
Immigration,MSNBC,2016,https://www.youtube.com/watch?v=YgTzjaAGDG0
Immigration,MSNBC,2016,https://www.youtube.com/watch?v=usqg2qZarEQ
Immigration,MSNBC,2016,https://www.youtube.com/watch?v=ucPuhZKty4g
Immigration,MSNBC,2017,https://www.youtube.com/watch?v=UpaRroDbFJ4
Immigration,MSNBC,2017,https://www.youtube.com/watch?v=FI-452UO1PU
Immigration,MSNBC,2017,https://www.youtube.com/watch?v=TH4ZenHJIxI
Immigration,MSNBC,2017,https://www.youtube.com/watch?v=Uyep9tx3G1E
Immigration,MSNBC,2018,https://www.youtube.com/watch?v=8L0-i8tiUqk
Immigration,MSNBC,2018,https://www.youtube.com/watch?v=_CXUUOOdqvs
Immigration,MSNBC,2018,https://www.youtube.com/watch?v=QT5pFKaYXhg
Immigration,MSNBC,2018,https://www.youtube.com/watch?v=LZrce1lwvXI
Immigration,MSNBC,2018,https://www.youtube.com/watch?v=8Jrm1Zi8jDQ
Immigration,MSNBC,2019,https://www.youtube.com/watch?v=HZ5rF9Oim4I
Immigration,MSNBC,2019,https://www.youtube.com/watch?v=U6Fp0e0jBP0
Immigration,MSNBC,2019,https://www.youtube.com/watch?v=7ObJsiM-PsQ
Immigration,MSNBC,2019,https://www.youtube.com/watch?v=0wN05qrCn2k
